num	rate
10	0.328
50	2.8941
100	5.6914
150	9.7303
200	13.2727
250	16.7834
300	19.7201
350	22.8209
400	25.6789
450	28.5876
500	31.2538
550	33.9712
600	36.6742
650	39.4766
700	42.1769
750	44.9909
800	47.749
850	50.4841
900	53.3557
950	56.1116
1000	58.8998
