num	rate
10	0.0106
50	0.0129
100	0.018
150	0.0251
200	0.0354
250	0.0386
300	0.061
350	0.1023
400	0.1469
450	0.1998
500	0.267
550	0.3857
600	0.5237
650	0.6252
700	0.7571
750	0.8188
800	0.8528
850	0.9498
900	0.9212
950	0.9756
1000	0.9801
