num	rate
10	0.0199
50	0.0327
100	0.0517
150	0.1072
200	0.2284
250	0.44
300	0.6422
350	0.8355
400	0.9322
450	0.9768
500	0.99
550	0.9954
600	0.9975
650	0.9997
700	0.9965
750	0.9998
800	0.9998
850	0.9998
900	0.9997
950	0.9998
1000	0.9998
