num	rate
10	0.0097
50	0.0145
100	0.016
150	0.023
200	0.0308
250	0.0406
300	0.063
350	0.0902
400	0.1175
450	0.1781
500	0.2492
550	0.3727
600	0.4934
650	0.6267
700	0.7202
750	0.8319
800	0.9038
850	0.9343
900	0.9586
950	0.9633
1000	0.9704
