num	rate
10	0.0093
50	0.0135
100	0.0153
150	0.0224
200	0.0322
250	0.0458
300	0.064
350	0.0924
400	0.1197
450	0.2089
500	0.2807
550	0.3352
600	0.5032
650	0.6023
700	0.7689
750	0.8217
800	0.8788
850	0.93
900	0.9224
950	0.9619
1000	0.9704
