num	rate
10	0.066
50	0.5053
100	1.1871
150	1.8794
200	2.4164
250	3.6191
300	4.4324
350	5.2001
400	5.3566
450	6.3922
500	7.5487
550	8.687
600	9.4413
650	10.1701
700	11.2356
750	12.196
800	13.1059
850	13.8889
900	14.8489
950	15.7881
1000	16.71
