num	rate
10	0.0142
50	0.0115
100	0.0136
150	0.0215
200	0.0267
250	0.0383
300	0.0536
350	0.0795
400	0.1132
450	0.1713
500	0.2327
550	0.3495
600	0.4456
650	0.5914
700	0.6973
750	0.8291
800	0.8728
850	0.9233
900	0.9312
950	0.961
1000	0.9652
