num	rate
10	1.0999
50	2.1099
100	4.417
150	6.6234
200	8.7645
250	10.8606
300	12.9641
350	15.0774
400	17.2012
450	19.299
500	21.3959
550	23.497
600	25.613
650	27.7313
700	29.8088
750	31.9333
800	34.0539
850	36.1758
900	38.2465
950	40.3648
1000	42.458
