num	rate
10	0.1226
50	1.1638
100	2.381
150	4.2391
200	5.8568
250	7.3841
300	9.2804
350	11.2088
400	12.9059
450	14.8622
500	16.6784
550	18.4213
600	20.1192
650	21.8021
700	23.5361
750	25.2361
800	26.8315
850	28.6114
900	30.2825
950	31.9941
1000	33.6731
